model,accuracy,precision_macro,recall_macro,f1_macro
ExtraTrees_Tuned,0.984375,0.9845798409628198,0.984375,0.9844175480990031
RandomForest,0.9670138888888888,0.9676422712329642,0.967013888888889,0.967003094167057
ExtraTrees,0.9600694444444444,0.9610552522608434,0.9600694444444445,0.9600392330046824
SVC_RBF,0.8194444444444444,0.8302630735794944,0.8194444444444445,0.8156572993877411
SVC_Tuned,0.7760416666666666,0.7834739895343131,0.7760416666666666,0.769551918798585
MLP,0.734375,0.7334810289797318,0.734375,0.7332379380808701
